diagnosis,config_id,feature_set,balanced_accuracy,roc_auc
SUD,C1,E,0.5282,0.5929
SUD,C2,D,0.5262,0.5101
SUD,C3,T,0.4076,0.4059
SUD,C4,D+T,0.4884,0.4633
SUD,C5,E+D+T,0.5646,0.6019
SUD,C6,C,0.5254,0.5357
MDD,C1,E,0.5235,0.5586
MDD,C2,D,0.4674,0.4468
MDD,C3,T,0.4593,0.4582
MDD,C4,D+T,0.4508,0.4274
MDD,C5,E+D+T,0.5151,0.5268
MDD,C6,C,0.5016,0.4963
PTSD,C1,E,0.5019,0.5178
PTSD,C2,D,0.5181,0.5373
PTSD,C3,T,0.4569,0.4780
PTSD,C4,D+T,0.5287,0.5294
PTSD,C5,E+D+T,0.4712,0.5025
PTSD,C6,C,0.5148,0.5131
GAD,C1,E,0.4921,0.4443
GAD,C2,D,0.4446,0.4324
GAD,C3,T,0.5164,0.5295
GAD,C4,D+T,0.4902,0.4519
GAD,C5,E+D+T,0.4680,0.4477
GAD,C6,C,0.5101,0.5297
ADHD,C1,E,0.5503,0.5592
ADHD,C2,D,0.5262,0.5497
ADHD,C3,T,0.4916,0.4246
ADHD,C4,D+T,0.5521,0.5559
ADHD,C5,E+D+T,0.5503,0.5628
ADHD,C6,C,0.4671,0.4500
