config_id,feature_set,observed_balanced_accuracy,permutation_null_mean,permutation_null_sd,permutation_null_p95,p_value,n_permutations
A0,BandPower,0.49271284271284277,0.3323802308802309,0.01816566340502622,0.36169552669552674,0.004975124378109453,200
A1,E,0.4696248196248196,0.33334415584415583,0.02285323635142216,0.37297979797979786,0.004975124378109453,200
A2,D,0.4223665223665224,0.3307968975468975,0.02244296752398194,0.3714430014430014,0.004975124378109453,200
A3,T,0.35339105339105337,0.3295104617604618,0.02181815107402571,0.3632178932178932,0.17412935323383086,200
A4,C,0.35519480519480523,0.33194444444444443,0.023095945716879365,0.3667604617604617,0.1691542288557214,200
A5,D + T,0.43809523809523804,0.3358676046176046,0.022297802227249718,0.3727380952380952,0.004975124378109453,200
A6,E + D,0.49343434343434345,0.3323427128427128,0.02250291411845765,0.3711435786435786,0.004975124378109453,200
A7,E + T,0.4725108225108226,0.3357445887445888,0.022849617379486795,0.3747366522366522,0.004975124378109453,200
A8,E + D + T,0.4932900432900433,0.3313445165945166,0.021802614412080996,0.3667424242424242,0.004975124378109453,200
A9,E + D + T + C,0.4932900432900433,0.3329606782106782,0.02389652480011141,0.3776370851370851,0.004975124378109453,200
