diagnosis,config_id,feature_set,observed_balanced_accuracy,permutation_null_mean,permutation_null_sd,p_value,n_permutations,p_value_bh_fdr,reject_at_fdr_0p05
SUD,C1,E,0.5282058823529411,0.5008450980392156,0.04163080869107005,0.25870646766169153,200,0.8208955223880597,False
SUD,C2,D,0.5261764705882352,0.49659191176470585,0.04251512990428976,0.2736318407960199,200,0.8208955223880597,False
SUD,C3,T,0.4076372549019608,0.49696377450980395,0.04301477115837933,0.9800995024875622,200,0.9800995024875622,False
SUD,C4,D + T,0.48843137254901964,0.49631759803921566,0.043502226385857226,0.6169154228855721,200,0.888415067519545,False
SUD,C5,E + D + T,0.5646470588235294,0.4997732843137255,0.04055362284030225,0.03980099502487562,200,0.3980099502487562,False
SUD,C6,C,0.525372549019608,0.49787205882352936,0.04387325240219984,0.2835820895522388,200,0.8208955223880597,False
MDD,C1,E,0.5235474295819122,0.5012577838827839,0.029968903669069753,0.22388059701492538,200,0.8208955223880597,False
MDD,C2,D,0.46735505873436906,0.5029102248326386,0.04441585236214313,0.7860696517412935,200,0.9315491507977355,False
MDD,C3,T,0.45930592396109643,0.49938791524567394,0.04578523236932425,0.7960199004975125,200,0.9315491507977355,False
MDD,C4,D + T,0.4507862826828344,0.4997802197802198,0.04375871069406079,0.8756218905472637,200,0.9315491507977355,False
MDD,C5,E + D + T,0.5150909435392195,0.500605516609827,0.027920229678066788,0.3283582089552239,200,0.8208955223880597,False
MDD,C6,C,0.5015662498421118,0.5005602816723507,0.0497129562241984,0.5323383084577115,200,0.888415067519545,False
PTSD,C1,E,0.5019264705882354,0.502704338235294,0.042432585638735504,0.5422885572139303,200,0.888415067519545,False
PTSD,C2,D,0.5181323529411765,0.4985755637254903,0.04355005338248337,0.30845771144278605,200,0.8208955223880597,False
PTSD,C3,T,0.45690686274509806,0.4979880392156863,0.04270862113807571,0.8557213930348259,200,0.9315491507977355,False
PTSD,C4,D + T,0.5286519607843136,0.4997784068627451,0.04072439030582069,0.25870646766169153,200,0.8208955223880597,False
PTSD,C5,E + D + T,0.47121078431372554,0.5023817401960784,0.04134944490767299,0.7562189054726368,200,0.9315491507977355,False
PTSD,C6,C,0.51478431372549,0.4981666666666667,0.04756217367543412,0.4129353233830846,200,0.845771144278607,False
GAD,C1,E,0.49206896551724133,0.5015146551724138,0.028146975812940213,0.6218905472636815,200,0.888415067519545,False
GAD,C2,D,0.44459770114942526,0.4989876436781609,0.04225449948620167,0.900497512437811,200,0.9315491507977355,False
GAD,C3,T,0.5163793103448275,0.5002479885057471,0.049344458446986685,0.373134328358209,200,0.845771144278607,False
GAD,C4,D + T,0.4901724137931035,0.49993074712643676,0.04238436294387145,0.5970149253731343,200,0.888415067519545,False
GAD,C5,E + D + T,0.4680459770114943,0.4999298850574714,0.02637716826549612,0.8805970149253731,200,0.9315491507977355,False
GAD,C6,C,0.5101149425287356,0.4979824712643678,0.04875317139891948,0.4228855721393035,200,0.845771144278607,False
ADHD,C1,E,0.5503225806451613,0.5010242943548388,0.019693406479648082,0.01990049751243781,200,0.29850746268656714,False
ADHD,C2,D,0.5262499999999999,0.4954484879032259,0.04576604403178548,0.24875621890547264,200,0.8208955223880597,False
ADHD,C3,T,0.491633064516129,0.4947818548387097,0.04787349356446268,0.5472636815920398,200,0.888415067519545,False
ADHD,C4,D + T,0.5520766129032258,0.4985534274193549,0.04103755884756676,0.07462686567164178,200,0.5597014925373134,False
ADHD,C5,E + D + T,0.5503225806451614,0.49916461693548386,0.019358696934525785,0.014925373134328358,200,0.29850746268656714,False
ADHD,C6,C,0.46707661290322583,0.5001452620967741,0.04893825847239606,0.7313432835820896,200,0.9315491507977355,False
