diagnosis,config_id,feature_set,dimension,n_subjects,n_positive,n_negative,prevalence,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,macro_f1_mean,macro_f1_sd,positive_precision_mean,positive_recall_mean,specificity_mean,negative_predictive_value_mean,fold_balanced_accuracy_values,fold_roc_auc_values
SUD,C1,E,2176,206,85,121,0.41262135922330095,0.5282058823529411,0.07269586027230496,0.4676470588235294,0.5814313725490197,0.5929019607843138,0.10840224052866244,0.5,0.6777254901960784,0.517139950681007,0.08341191960424942,0.4468531468531468,0.32941176470588235,0.7270000000000001,0.6094565826330534,"[0.6152941176470588, 0.4215686274509804, 0.5306372549019608, 0.5049019607843137, 0.5686274509803921]","[0.7341176470588235, 0.43137254901960786, 0.5931372549019608, 0.6225490196078431, 0.5833333333333334]"
SUD,C2,D,238,206,85,121,0.41262135922330095,0.5261764705882352,0.014784715173724731,0.5137254901960784,0.5369607843137254,0.5100588235294118,0.02966537716052374,0.4897058823529412,0.5345882352941176,0.5239952611095958,0.015602480082718256,0.4421470342522974,0.48235294117647054,0.57,0.6100682650682651,"[0.5352941176470588, 0.5147058823529411, 0.5355392156862745, 0.5392156862745098, 0.5061274509803921]","[0.5576470588235294, 0.4852941176470589, 0.5147058823529412, 0.5073529411764706, 0.4852941176470588]"
SUD,C3,T,68,206,85,121,0.41262135922330095,0.4076372549019608,0.1029211663558308,0.3291666666666667,0.4931372549019608,0.405921568627451,0.08512905484304302,0.34027450980392154,0.4715686274509804,0.4010972413010717,0.09508535017007005,0.2948567119155355,0.3529411764705882,0.4623333333333333,0.5183772893772893,"[0.4070588235294118, 0.5612745098039216, 0.43504901960784315, 0.28799019607843135, 0.34681372549019607]","[0.34823529411764703, 0.5049019607843138, 0.4681372549019608, 0.2965686274509804, 0.4117647058823529]"
SUD,C4,D + T,306,206,85,121,0.41262135922330095,0.48843137254901964,0.04467358062914113,0.45,0.5205392156862746,0.46325490196078434,0.06375001036554485,0.4132352941176471,0.5132745098039215,0.48436098460641774,0.04195616053586997,0.39945250827603773,0.4235294117647059,0.5533333333333335,0.5779049948709856,"[0.5058823529411764, 0.42647058823529416, 0.5441176470588236, 0.5012254901960784, 0.4644607843137255]","[0.5270588235294118, 0.47794117647058826, 0.5171568627450981, 0.40931372549019607, 0.38480392156862747]"
SUD,C5,E + D + T,2482,206,85,121,0.41262135922330095,0.5646470588235294,0.11812586085318831,0.4629901960784313,0.6566862745098039,0.6018627450980392,0.10323452600127628,0.5088235294117647,0.6776470588235295,0.5618453184141041,0.1180058946336904,0.49635907951697417,0.4352941176470589,0.694,0.6395986622073578,"[0.7129411764705882, 0.3884803921568627, 0.5392156862745098, 0.5723039215686274, 0.6102941176470589]","[0.7176470588235294, 0.4362745098039216, 0.5955882352941178, 0.6200980392156863, 0.6397058823529411]"
SUD,C6,C,3,206,85,121,0.41262135922330095,0.525372549019608,0.023970728577318842,0.504656862745098,0.5436372549019608,0.5356666666666667,0.05883800475489548,0.49192156862745107,0.5794117647058824,0.5190299751441427,0.02385526128181749,0.4381463551927949,0.5294117647058824,0.5213333333333333,0.6121925803814349,"[0.5435294117647059, 0.5061274509803921, 0.5477941176470589, 0.49387254901960786, 0.5355392156862745]","[0.4847058823529412, 0.5441176470588236, 0.6176470588235294, 0.4730392156862745, 0.5588235294117647]"
MDD,C1,E,2176,206,142,64,0.6893203883495146,0.5235474295819122,0.06932722477898107,0.4728211443728685,0.5785903751420993,0.5586459517494,0.06940265229154874,0.5032272325375773,0.6140646709612227,0.5054586318962739,0.08207035819656978,0.7037888839746426,0.8458128078817733,0.2012820512820513,0.3476190476190476,"[0.6273209549071619, 0.5054945054945055, 0.5027472527472527, 0.5439560439560439, 0.43821839080459773]","[0.6259946949602122, 0.4945054945054945, 0.6318681318681318, 0.4862637362637362, 0.5545977011494253]"
MDD,C2,D,238,206,142,64,0.6893203883495146,0.46735505873436906,0.07288213599440736,0.411150056839712,0.5235600606290262,0.44676645193886577,0.10957176379185037,0.36428571428571427,0.5354553492484526,0.46648206209802534,0.07370306354413396,0.6650783699059561,0.6539408866995073,0.28076923076923077,0.27357379462642617,"[0.5543766578249337, 0.3983516483516484, 0.385989010989011, 0.510989010989011, 0.4870689655172414]","[0.5994694960212201, 0.38461538461538464, 0.31043956043956045, 0.44505494505494503, 0.49425287356321834]"
MDD,C3,T,68,206,142,64,0.6893203883495146,0.45930592396109643,0.09563184093897532,0.3747252747252748,0.5161740558292282,0.45822281167108747,0.11523966396016325,0.356043956043956,0.5315649867374005,0.4528652847508841,0.08952375517935122,0.6538571428571429,0.5275862068965517,0.391025641025641,0.27545051353874883,"[0.46816976127320953, 0.29395604395604397, 0.4958791208791209, 0.5370879120879121, 0.5014367816091954]","[0.45092838196286467, 0.2637362637362637, 0.5302197802197802, 0.4945054945054945, 0.5517241379310345]"
MDD,C4,D + T,306,206,142,64,0.6893203883495146,0.4507862826828344,0.03786202954988679,0.4244316028798788,0.4837722622205381,0.4273777946191739,0.07236119255624268,0.3779651383099659,0.4866426676771504,0.45111316753422004,0.037645946343661675,0.6545977011494253,0.6054187192118227,0.29615384615384616,0.25697478991596634,"[0.46419098143236076, 0.4217032967032967, 0.4217032967032967, 0.510989010989011, 0.4353448275862069]","[0.5437665782493368, 0.3708791208791209, 0.36263736263736257, 0.42857142857142855, 0.4310344827586208]"
