scope,group,n,kappa_mean,kappa_sd,p_value,p_value_bh_fdr,test
condition_summary,Negative,211,0.25691327644192713,0.1196483402273769,,,descriptive
condition_summary,Neutral,211,0.23840974453077043,0.11358448228523668,,,descriptive
condition_summary,Pleasant,211,0.2561775633518082,0.1105445048394739,,,descriptive
condition_paired_wilcoxon,Negative vs Neutral,211,0.018503531911156695,0.1572952258491575,0.06927752677370924,,wilcoxon_signed_rank
condition_paired_wilcoxon,Negative vs Pleasant,211,0.000735713090118939,0.15514781700621444,0.7193955848823297,,wilcoxon_signed_rank
condition_paired_wilcoxon,Neutral vs Pleasant,211,-0.017767818821037756,0.1462405222669585,0.08486525820757042,,wilcoxon_signed_rank
diagnosis_mannwhitney,SUD,206,0.0010916060700840724,0.009942101618937252,0.6247925391090117,0.7466535711372901,mannwhitney_u
diagnosis_mannwhitney,MDD,206,0.008950518397099538,0.010657599965160934,0.41679566631749676,0.7466535711372901,mannwhitney_u
diagnosis_mannwhitney,PTSD,206,-0.003141933512607248,0.01081793231542224,0.4384443844008318,0.7466535711372901,mannwhitney_u
diagnosis_mannwhitney,GAD,206,-0.0064545841492453515,0.010562636703640401,0.6350549402058536,0.7466535711372901,mannwhitney_u
diagnosis_mannwhitney,ADHD,206,-0.0035841984877092448,0.012568699619075504,0.7466535711372901,0.7466535711372901,mannwhitney_u
kappa_vs_arspi_a6_accuracy,all_subjects,211,,,0.8452779240098319,,spearman rho=0.0135
