policy,epsilon,episode,success,steps,final_entropy,brier
efe,0.0,0,1,13,0.0058,0.0
efe,0.0,1,1,1,0.063,0.0002
efe,0.0,2,1,6,0.0798,0.0004
efe,0.0,3,1,3,0.2629,0.0108
efe,0.0,4,1,5,0.1093,0.0009
efe,0.0,5,1,1,0.0016,0.0
efe,0.0,6,1,3,0.4518,0.0545
efe,0.0,7,1,3,0.2001,0.0026
efe,0.0,8,1,1,0.5057,0.0321
efe,0.0,9,1,2,0.2664,0.0096
efe,0.0,10,0,15,0.6167,0.9604
efe,0.0,11,1,1,0.0058,0.0
efe,0.0,12,1,2,0.1239,0.0011
efe,0.0,13,1,1,0.1108,0.001
efe,0.0,14,1,5,0.3571,0.026
efe,0.0,15,1,7,0.4739,0.0657
efe,0.0,16,0,15,0.0036,1.9984
efe,0.0,17,0,15,0.0127,1.9932
efe,0.0,18,1,2,0.0068,0.0
efe,0.0,19,1,2,0.3221,0.0152
efe,0.0,20,0,15,0.6851,0.6351
efe,0.0,21,1,1,0.5612,0.0533
efe,0.0,22,1,1,0.5057,0.0321
efe,0.0,23,1,1,0.0825,0.0003
efe,0.0,24,1,2,0.0428,0.0001
efe,0.0,25,1,1,0.0058,0.0
efe,0.0,26,1,2,0.1177,0.0009
efe,0.0,27,1,1,0.0016,0.0
efe,0.0,28,1,4,0.2126,0.006
efe,0.0,29,0,15,0.0516,1.964
efe,0.0,30,0,15,0.0002,1.9999
efe,0.0,31,1,2,0.3942,0.0167
efe,0.0,32,1,15,0.2714,0.0119
efe,0.0,33,1,12,0.0363,0.0001
efe,0.0,34,1,1,0.3785,0.0143
efe,0.0,35,1,3,0.2686,0.011
efe,0.0,36,1,1,0.1747,0.0031
efe,0.0,37,1,1,0.5612,0.0533
efe,0.0,38,1,3,0.0342,0.0001
efe,0.0,39,1,2,0.1278,0.0013
efe,0.0,40,1,2,0.1724,0.0025
efe,0.0,41,1,4,0.4605,0.0597
efe,0.0,42,1,3,0.0285,0.0
efe,0.0,43,1,6,0.0585,0.0002
efe,0.0,44,1,15,0.2299,0.005
efe,0.0,45,1,3,0.0984,0.0007
efe,0.0,46,1,3,0.002,0.0
efe,0.0,47,0,15,0.0,2.0
efe,0.0,48,1,2,0.0483,0.0001
efe,0.0,49,1,1,0.4922,0.05
efe,0.0,50,0,15,0.5624,0.125
efe,0.0,51,1,7,0.0181,0.0
efe,0.0,52,0,15,0.0004,1.9999
efe,0.0,53,1,1,0.4069,0.038
efe,0.0,54,1,1,0.3038,0.0129
efe,0.0,55,1,4,0.4859,0.0419
efe,0.0,56,1,1,0.063,0.0002
efe,0.0,57,0,15,0.0024,1.9989
efe,0.0,58,1,2,0.5153,0.0433
efe,0.0,59,1,7,0.4651,0.0618
efe,0.0,60,1,13,0.0603,0.0002
efe,0.0,61,1,1,0.2575,0.0059
efe,0.0,62,1,8,0.3266,0.0203
efe,0.0,63,1,6,0.1491,0.0021
efe,0.0,64,1,15,0.1628,0.0029
efe,0.0,65,1,3,0.3687,0.0272
efe,0.0,66,1,1,0.2668,0.0112
efe,0.0,67,0,15,0.1177,1.9004
efe,0.0,68,1,1,0.2413,0.0068
efe,0.0,69,0,15,0.0072,1.9964
efe,0.0,70,0,15,0.2477,1.7383
efe,0.0,71,0,15,0.0,2.0
efe,0.0,72,1,8,0.2912,0.0144
efe,0.0,73,1,2,0.3553,0.0257
efe,0.0,74,1,3,0.0998,0.0005
efe,0.0,75,1,1,0.0615,0.0001
efe,0.0,76,0,15,0.0079,1.996
efe,0.0,77,1,1,0.3333,0.0181
efe,0.0,78,1,1,0.2628,0.007
efe,0.0,79,1,5,0.1437,0.002
efe,0.0,80,1,1,0.5498,0.0399
efe,0.0,81,1,1,0.0699,0.0002
efe,0.0,82,1,1,0.4873,0.0338
efe,0.0,83,1,2,0.0126,0.0
efe,0.0,84,1,1,0.2575,0.0059
efe,0.0,85,1,2,0.4777,0.0461
efe,0.0,86,1,5,0.169,0.0017
efe,0.0,87,1,2,0.0647,0.0002
efe,0.0,88,1,2,0.496,0.0749
efe,0.0,89,1,4,0.2584,0.0073
efe,0.0,90,0,15,0.0,2.0
efe,0.0,91,1,1,0.4512,0.0535
efe,0.0,92,1,14,0.4743,0.0662
efe,0.0,93,1,3,0.1425,0.0015
efe,0.0,94,1,1,0.1492,0.0012
efe,0.0,95,1,2,0.0982,0.0008
efe,0.0,96,1,12,0.3508,0.0113
efe,0.0,97,1,3,0.0985,0.0008
efe,0.0,98,1,9,0.1429,0.0018
efe,0.0,99,1,6,0.2106,0.0059
efe,0.0,100,1,3,0.0215,0.0
efe,0.0,101,1,4,0.277,0.0126
efe,0.0,102,1,2,0.2655,0.0098
efe,0.0,103,1,1,0.2575,0.0059
efe,0.0,104,1,7,0.4996,0.0338
efe,0.0,105,1,3,0.0969,0.0007
efe,0.0,106,1,1,0.0937,0.0005
efe,0.0,107,1,4,0.4884,0.0272
efe,0.0,108,1,1,0.3333,0.0181
efe,0.0,109,1,3,0.4495,0.0551
efe,0.0,110,1,1,0.3333,0.0181
efe,0.0,111,1,5,0.3121,0.0177
efe,0.0,112,0,15,0.0,2.0
efe,0.0,113,1,8,0.0577,0.0001
efe,0.0,114,1,4,0.3003,0.0084
efe,0.0,115,1,1,0.4753,0.0633
efe,0.0,116,1,2,0.3002,0.0158
efe,0.0,117,1,2,0.1211,0.0009
efe,0.0,118,1,1,0.2575,0.0059
efe,0.0,119,1,2,0.3511,0.0246
efe,0.0,120,1,1,0.0309,0.0
efe,0.0,121,1,2,0.5871,0.0529
efe,0.0,122,1,2,0.0362,0.0001
efe,0.0,123,1,1,0.0145,0.0
efe,0.0,124,1,8,0.3445,0.0238
efe,0.0,125,1,7,0.2302,0.0064
efe,0.0,126,1,2,0.3347,0.0164
efe,0.0,127,0,15,0.005,1.9977
efe,0.0,128,1,1,0.4457,0.051
efe,0.0,129,1,1,0.0515,0.0001
efe,0.0,130,1,7,0.0101,0.0
efe,0.0,131,1,1,0.4785,0.0322
