policy,epsilon,n_episodes,success_rate,success_ci_lo,success_ci_hi,failure_rate,median_steps_to_success,mean_steps,final_entropy_mean,entropy_reduction_per_step,brier_mean,believed_class_dist
efe,0.0,1500,0.862,0.8436,0.8785,0.138,2.0,5.002,0.2096,0.17774,0.264,"[0.315, 0.352, 0.333]"
efe,0.1,1500,0.8467,0.8275,0.864,0.1533,2.0,5.424,0.2114,0.16357,0.2858,"[0.318, 0.379, 0.303]"
efe,0.2,1500,0.8447,0.8255,0.8621,0.1553,2.0,5.539,0.2201,0.1586,0.2794,"[0.32, 0.349, 0.331]"
efe,0.3,1500,0.808,0.7873,0.8271,0.192,2.0,5.941,0.2093,0.14968,0.3644,"[0.336, 0.365, 0.299]"
efe,0.4,1500,0.8047,0.7838,0.8239,0.1953,3.0,6.117,0.1968,0.14744,0.3749,"[0.314, 0.361, 0.325]"
epistemic_only,0.0,1500,0.506,0.4807,0.5313,0.494,2.0,8.86,0.1216,0.11027,0.9839,"[0.126, 0.791, 0.083]"
epistemic_only,0.1,1500,0.518,0.4927,0.5432,0.482,2.0,8.781,0.1218,0.11124,0.9578,"[0.137, 0.775, 0.087]"
epistemic_only,0.2,1500,0.5193,0.494,0.5445,0.4807,2.0,8.881,0.1408,0.10786,0.9485,"[0.164, 0.722, 0.114]"
epistemic_only,0.3,1500,0.556,0.5307,0.581,0.444,2.0,8.545,0.139,0.11231,0.878,"[0.186, 0.695, 0.119]"
epistemic_only,0.4,1500,0.576,0.5508,0.6008,0.424,2.0,8.444,0.1525,0.11205,0.8323,"[0.202, 0.633, 0.165]"
oracle,0.0,1500,1.0,0.9974,1.0,0.0,1.0,1.0,0.0,1.09861,0.0,"[0.329, 0.337, 0.334]"
oracle,0.1,1500,1.0,0.9974,1.0,0.0,1.0,1.073,0.0,1.02419,0.0,"[0.349, 0.346, 0.305]"
oracle,0.2,1500,1.0,0.9974,1.0,0.0,1.0,1.155,0.0,0.95091,0.0,"[0.333, 0.323, 0.345]"
oracle,0.3,1500,1.0,0.9974,1.0,0.0,1.0,1.234,0.0,0.89029,0.0,"[0.349, 0.337, 0.314]"
oracle,0.4,1500,1.0,0.9974,1.0,0.0,1.0,1.372,0.0,0.80074,0.0,"[0.314, 0.335, 0.351]"
passive,0.0,1500,1.0,0.9974,1.0,0.0,1.0,1.0,0.4594,0.63924,0.8158,"[0.329, 0.337, 0.334]"
passive,0.1,1500,0.9373,0.9239,0.9485,0.0627,1.0,1.0,0.4741,0.62455,0.8267,"[0.349, 0.346, 0.305]"
passive,0.2,1500,0.8733,0.8555,0.8892,0.1267,1.0,1.0,0.4781,0.62053,0.8346,"[0.333, 0.323, 0.345]"
passive,0.3,1500,0.802,0.7811,0.8214,0.198,1.0,1.0,0.4635,0.63513,0.8472,"[0.349, 0.337, 0.314]"
passive,0.4,1500,0.7327,0.7097,0.7544,0.2673,1.0,1.0,0.4782,0.62045,0.923,"[0.314, 0.335, 0.351]"
pragmatic_only,0.0,1500,0.864,0.8457,0.8804,0.136,2.0,4.945,0.2067,0.18037,0.2608,"[0.313, 0.354, 0.333]"
pragmatic_only,0.1,1500,0.8427,0.8234,0.8602,0.1573,2.0,5.549,0.2094,0.16026,0.2999,"[0.307, 0.374, 0.319]"
pragmatic_only,0.2,1500,0.85,0.831,0.8672,0.15,2.0,5.447,0.2174,0.16178,0.2799,"[0.321, 0.337, 0.342]"
pragmatic_only,0.3,1500,0.822,0.8018,0.8405,0.178,2.0,5.682,0.2048,0.15731,0.3425,"[0.329, 0.363, 0.308]"
pragmatic_only,0.4,1500,0.808,0.7873,0.8271,0.192,2.0,6.043,0.206,0.1477,0.3653,"[0.309, 0.363, 0.328]"
random,0.0,1500,0.614,0.5891,0.6383,0.386,2.0,8.173,0.1864,0.1116,0.7374,"[0.341, 0.362, 0.297]"
random,0.1,1500,0.6247,0.5999,0.6488,0.3753,3.0,8.201,0.1861,0.11127,0.7226,"[0.348, 0.365, 0.287]"
random,0.2,1500,0.6193,0.5945,0.6436,0.3807,3.0,8.248,0.1858,0.11068,0.732,"[0.335, 0.356, 0.309]"
random,0.3,1500,0.6,0.575,0.6245,0.4,3.0,8.419,0.1789,0.10925,0.7654,"[0.351, 0.345, 0.305]"
random,0.4,1500,0.6247,0.5999,0.6488,0.3753,3.0,8.103,0.1836,0.11292,0.7205,"[0.322, 0.359, 0.319]"
