seed,fold,balanced_accuracy,macro_f1,roc_auc,n_test,config,config_name,feature_dim
42,0,0.49612403100775193,0.4935265156784145,0.6714440237966469,129,A0,BandPower,170
42,1,0.4841269841269842,0.479605039155601,0.6678004535147393,126,A0,BandPower,170
42,2,0.4603174603174603,0.45430494585894055,0.63718820861678,126,A0,BandPower,170
42,3,0.4603174603174603,0.46171257167820734,0.6279289493575207,126,A0,BandPower,170
42,4,0.5158730158730159,0.5133894866388965,0.6947278911564626,126,A0,BandPower,170
43,0,0.44961240310077516,0.4512538599884624,0.6508923742563547,129,A0,BandPower,170
43,1,0.5158730158730159,0.5151122275342354,0.6668556311413454,126,A0,BandPower,170
43,2,0.5873015873015873,0.583911032618441,0.7283635676492818,126,A0,BandPower,170
43,3,0.4444444444444445,0.4444027170192634,0.6327475434618292,126,A0,BandPower,170
43,4,0.4682539682539682,0.4666977413438447,0.6574074074074074,126,A0,BandPower,170
44,0,0.4728682170542635,0.4728682170542635,0.6505318190012619,129,A0,BandPower,170
44,1,0.5158730158730159,0.5101634320735444,0.7213718820861676,126,A0,BandPower,170
44,2,0.4285714285714286,0.42737273294089606,0.6393613000755858,126,A0,BandPower,170
44,3,0.5396825396825397,0.5381300482830197,0.7002078609221466,126,A0,BandPower,170
44,4,0.4841269841269842,0.48376991110509454,0.6590136054421768,126,A0,BandPower,170
45,0,0.46511627906976744,0.4666990584303246,0.6422390481341266,129,A0,BandPower,170
45,1,0.4603174603174603,0.46003256003256005,0.6705404383975813,126,A0,BandPower,170
45,2,0.4603174603174603,0.4468401968401969,0.6241496598639457,126,A0,BandPower,170
45,3,0.5158730158730159,0.5129572197648867,0.6695956160241875,126,A0,BandPower,170
45,4,0.48412698412698413,0.4821408425280354,0.6481481481481483,126,A0,BandPower,170
46,0,0.4573643410852713,0.4575757575757576,0.6538669551108708,129,A0,BandPower,170
46,1,0.5476190476190476,0.5448559670781893,0.726379440665155,126,A0,BandPower,170
46,2,0.4444444444444444,0.4330572287432662,0.6647770219198791,126,A0,BandPower,170
46,3,0.4920634920634921,0.49349415204678365,0.682634164777022,126,A0,BandPower,170
46,4,0.4761904761904762,0.4800106480809254,0.677721088435374,126,A0,BandPower,170
42,0,0.42635658914728686,0.42495491746428077,0.6269154497926807,129,A1,E,2176
42,1,0.4761904761904761,0.47826086956521735,0.6527777777777778,126,A1,E,2176
42,2,0.4920634920634921,0.4883894671128714,0.6539115646258503,126,A1,E,2176
42,3,0.4761904761904762,0.4703425229741019,0.6743197278911565,126,A1,E,2176
42,4,0.5158730158730158,0.5125322381021524,0.6293461829176115,126,A1,E,2176
43,0,0.441860465116279,0.44315455557656347,0.6065440778799351,129,A1,E,2176
43,1,0.4761904761904762,0.4779627738054704,0.6328420256991686,126,A1,E,2176
43,2,0.4603174603174603,0.453934953934954,0.6433295540438397,126,A1,E,2176
43,3,0.5,0.496804915514593,0.6833900226757369,126,A1,E,2176
43,4,0.4920634920634921,0.4878454878454878,0.664493575207861,126,A1,E,2176
44,0,0.4573643410852713,0.4514495760322577,0.6486389039120245,129,A1,E,2176
44,1,0.4603174603174603,0.45579374801506284,0.6213151927437641,126,A1,E,2176
44,2,0.4682539682539682,0.4704764502636843,0.643140589569161,126,A1,E,2176
44,3,0.4603174603174603,0.4610168460743173,0.6602418745275888,126,A1,E,2176
44,4,0.4523809523809524,0.45075757575757575,0.6646825396825397,126,A1,E,2176
45,0,0.45736434108527124,0.4563745356298548,0.6549486208761492,129,A1,E,2176
45,1,0.4682539682539682,0.46242656449553005,0.6521164021164022,126,A1,E,2176
45,2,0.41269841269841273,0.4103231336945446,0.573790627362056,126,A1,E,2176
45,3,0.5476190476190476,0.5414339665502456,0.7028533635676494,126,A1,E,2176
45,4,0.4603174603174603,0.4594393419745763,0.6398337112622827,126,A1,E,2176
46,0,0.4573643410852713,0.45520420149918084,0.6888408148548765,129,A1,E,2176
46,1,0.3968253968253968,0.39015579241143156,0.5841836734693877,126,A1,E,2176
46,2,0.41269841269841273,0.4128545934595486,0.6395502645502646,126,A1,E,2176
46,3,0.4603174603174603,0.4586141088649069,0.6293461829176116,126,A1,E,2176
46,4,0.4365079365079365,0.4363171355498722,0.6494708994708994,126,A1,E,2176
42,0,0.35658914728682173,0.3553755250888612,0.5596718947178654,129,A2,D,238
42,1,0.4603174603174603,0.4583694083694083,0.6029856386999243,126,A2,D,238
42,2,0.42063492063492064,0.42254310854402055,0.5995842781557067,126,A2,D,238
42,3,0.4285714285714286,0.42458226704802043,0.6305744520030234,126,A2,D,238
42,4,0.4444444444444444,0.4419644373781229,0.6117724867724869,126,A2,D,238
43,0,0.44961240310077516,0.4503565062388592,0.606093383811069,129,A2,D,238
43,1,0.35714285714285715,0.3471677559912854,0.5390211640211641,126,A2,D,238
43,2,0.48412698412698413,0.46724612232952883,0.6360544217687075,126,A2,D,238
43,3,0.4761904761904762,0.4779069767441861,0.6198979591836734,126,A2,D,238
43,4,0.4920634920634921,0.4923917706148395,0.6406840513983372,126,A2,D,238
44,0,0.3333333333333333,0.3274346661595271,0.5405624661979449,129,A2,D,238
