config,config_name,neural_mechanism,feature_dim,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,macro_f1_mean,roc_auc_mean,chance,above_chance
A0,BandPower,spectral band-power (non-neuromorphic baseline),170,0.4851,0.4714,0.4998,0.483,0.6666,0.3333,True
A1,E,LIF reservoir spike embedding (E),2176,0.4626,0.4502,0.4759,0.4603,0.6448,0.3333,True
A2,D,reservoir dynamical descriptors (D),238,0.4321,0.4128,0.45,0.4293,0.6,0.3333,True
A3,T,tPLV graph topology descriptors (T),68,0.355,0.343,0.3671,0.3526,0.5294,0.3333,True
A4,C,structure-function coupling (C),3,0.3681,0.3546,0.3817,0.3518,0.5419,0.3333,True
A5,D + T,D+T (dynamics + topology),306,0.4386,0.4254,0.451,0.4356,0.615,0.3333,True
A6,E + D,E+D (embedding + dynamics),2414,0.4778,0.4653,0.4896,0.4751,0.6527,0.3333,True
A7,E + T,E+T (embedding + topology),2244,0.4642,0.4527,0.4756,0.4611,0.6479,0.3333,True
A8,E + D + T,E+D+T (full reservoir-graph substrate),2482,0.4813,0.468,0.4942,0.4783,0.6559,0.3333,True
A9,E + D + T + C,E+D+T+C (substrate + coupling readout),2485,0.481,0.4681,0.4934,0.478,0.6552,0.3333,True
CTRL_shuffled_label,CTRL_shuffled_label,negative control,2482,0.335,0.3201,0.3507,0.3333,0.495,0.3333,False
CTRL_shuffled_subject,CTRL_shuffled_subject,negative control,2482,0.4743,0.461,0.4872,0.4709,0.6426,0.3333,True
