pass,config,perturbation,level,seed,fold,balanced_accuracy,macro_f1,roc_auc,n_test
representation_level,A0,amplitude_noise,clean,42,0,0.49612403100775193,0.4935265156784145,0.6714440237966469,129
representation_level,A0,amplitude_noise,clean,42,1,0.4841269841269842,0.479605039155601,0.6678004535147393,126
representation_level,A0,amplitude_noise,clean,42,2,0.4603174603174603,0.45430494585894055,0.63718820861678,126
representation_level,A0,amplitude_noise,clean,42,3,0.4603174603174603,0.46171257167820734,0.6279289493575207,126
representation_level,A0,amplitude_noise,clean,42,4,0.5158730158730159,0.5133894866388965,0.6947278911564626,126
representation_level,A0,amplitude_noise,clean,43,0,0.44961240310077516,0.4512538599884624,0.6508923742563547,129
representation_level,A0,amplitude_noise,clean,43,1,0.5158730158730159,0.5151122275342354,0.6668556311413454,126
representation_level,A0,amplitude_noise,clean,43,2,0.5873015873015873,0.583911032618441,0.7283635676492818,126
representation_level,A0,amplitude_noise,clean,43,3,0.4444444444444445,0.4444027170192634,0.6327475434618292,126
representation_level,A0,amplitude_noise,clean,43,4,0.4682539682539682,0.4666977413438447,0.6574074074074074,126
representation_level,A0,amplitude_noise,clean,44,0,0.4728682170542635,0.4728682170542635,0.6505318190012619,129
representation_level,A0,amplitude_noise,clean,44,1,0.5158730158730159,0.5101634320735444,0.7213718820861676,126
representation_level,A0,amplitude_noise,clean,44,2,0.4285714285714286,0.42737273294089606,0.6393613000755858,126
representation_level,A0,amplitude_noise,clean,44,3,0.5396825396825397,0.5381300482830197,0.7002078609221466,126
representation_level,A0,amplitude_noise,clean,44,4,0.4841269841269842,0.48376991110509454,0.6590136054421768,126
representation_level,A0,amplitude_noise,clean,45,0,0.46511627906976744,0.4666990584303246,0.6422390481341266,129
representation_level,A0,amplitude_noise,clean,45,1,0.4603174603174603,0.46003256003256005,0.6705404383975813,126
representation_level,A0,amplitude_noise,clean,45,2,0.4603174603174603,0.4468401968401969,0.6241496598639457,126
representation_level,A0,amplitude_noise,clean,45,3,0.5158730158730159,0.5129572197648867,0.6695956160241875,126
representation_level,A0,amplitude_noise,clean,45,4,0.48412698412698413,0.4821408425280354,0.6481481481481483,126
representation_level,A0,amplitude_noise,clean,46,0,0.4573643410852713,0.4575757575757576,0.6538669551108708,129
