pass,config,perturbation,level,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,macro_f1_mean,n_eval
representation_level,A0,amplitude_noise,clean,0.4851,0.4714,0.4998,0.483,25
representation_level,A1,amplitude_noise,clean,0.4626,0.4502,0.4759,0.4603,25
representation_level,A2,amplitude_noise,clean,0.4321,0.4128,0.45,0.4293,25
representation_level,A3,amplitude_noise,clean,0.355,0.343,0.3671,0.3526,25
representation_level,A4,amplitude_noise,clean,0.3681,0.3546,0.3817,0.3518,25
representation_level,A5,amplitude_noise,clean,0.4386,0.4254,0.451,0.4356,25
representation_level,A6,amplitude_noise,clean,0.4778,0.4653,0.4896,0.4751,25
representation_level,A7,amplitude_noise,clean,0.4642,0.4527,0.4756,0.4611,25
representation_level,A8,amplitude_noise,clean,0.4813,0.468,0.4942,0.4783,25
representation_level,A9,amplitude_noise,clean,0.481,0.4681,0.4934,0.478,25
representation_level,A0,amplitude_noise,20,0.4718,0.4557,0.4889,0.4694,25
representation_level,A0,amplitude_noise,10,0.4242,0.4043,0.4443,0.4218,25
representation_level,A0,amplitude_noise,5,0.3953,0.3797,0.411,0.3932,25
representation_level,A0,channel_dropout,0.1,0.4346,0.4194,0.4495,0.3972,25
representation_level,A0,channel_dropout,0.2,0.4021,0.3815,0.4234,0.3442,25
representation_level,A0,channel_dropout,0.3,0.4083,0.3878,0.4298,0.3414,25
representation_level,A1,amplitude_noise,20,0.4601,0.4471,0.4735,0.458,25
representation_level,A1,amplitude_noise,10,0.456,0.4412,0.4705,0.4538,25
representation_level,A1,amplitude_noise,5,0.4493,0.4367,0.4615,0.4475,25
representation_level,A1,channel_dropout,0.1,0.4604,0.4486,0.4727,0.4564,25
representation_level,A1,channel_dropout,0.2,0.454,0.4432,0.466,0.4497,25
representation_level,A1,channel_dropout,0.3,0.4559,0.4436,0.4687,0.4489,25
representation_level,A2,amplitude_noise,20,0.3546,0.3356,0.3717,0.3518,25
representation_level,A2,amplitude_noise,10,0.3487,0.3316,0.3647,0.3462,25
representation_level,A2,amplitude_noise,5,0.3477,0.3308,0.363,0.3453,25
representation_level,A2,channel_dropout,0.1,0.3362,0.3292,0.3467,0.1787,25
representation_level,A2,channel_dropout,0.2,0.3378,0.334,0.3432,0.1765,25
representation_level,A2,channel_dropout,0.3,0.3336,0.3333,0.3343,0.1709,25
representation_level,A3,amplitude_noise,20,0.3338,0.3154,0.3528,0.3329,25
representation_level,A3,amplitude_noise,10,0.3247,0.3062,0.3441,0.3238,25
representation_level,A3,amplitude_noise,5,0.3266,0.3082,0.3457,0.326,25
representation_level,A3,channel_dropout,0.1,0.3447,0.3355,0.3542,0.2216,25
representation_level,A3,channel_dropout,0.2,0.3378,0.3324,0.3445,0.1914,25
representation_level,A3,channel_dropout,0.3,0.3415,0.3355,0.3487,0.1918,25
representation_level,A3,graph_perturbation,0.1,0.3512,0.3358,0.3675,0.3492,25
representation_level,A3,graph_perturbation,0.2,0.3417,0.3253,0.3586,0.333,25
representation_level,A3,graph_perturbation,0.3,0.3313,0.3151,0.3483,0.3178,25
representation_level,A4,amplitude_noise,20,0.3574,0.3438,0.3694,0.3448,25
representation_level,A4,amplitude_noise,10,0.3568,0.339,0.3749,0.348,25
representation_level,A4,amplitude_noise,5,0.3527,0.3377,0.3675,0.3447,25
representation_level,A4,channel_dropout,0.1,0.3681,0.3546,0.3817,0.3518,25
representation_level,A4,channel_dropout,0.2,0.3681,0.3546,0.3817,0.3518,25
representation_level,A4,channel_dropout,0.3,0.3681,0.3546,0.3817,0.3518,25
representation_level,A4,graph_perturbation,0.1,0.3589,0.3441,0.3732,0.3479,25
representation_level,A4,graph_perturbation,0.2,0.3669,0.354,0.3811,0.3544,25
representation_level,A4,graph_perturbation,0.3,0.3488,0.3358,0.3618,0.3366,25
representation_level,A5,amplitude_noise,20,0.3539,0.3379,0.3695,0.3517,25
representation_level,A5,amplitude_noise,10,0.3444,0.3304,0.3587,0.3425,25
representation_level,A5,amplitude_noise,5,0.3425,0.3281,0.3574,0.3407,25
representation_level,A5,channel_dropout,0.1,0.3333,0.3324,0.3343,0.1685,25
representation_level,A5,channel_dropout,0.2,0.3333,0.3333,0.3333,0.1667,25
representation_level,A5,channel_dropout,0.3,0.3343,0.3333,0.3362,0.169,25
representation_level,A5,graph_perturbation,0.1,0.4333,0.4208,0.4454,0.4298,25
representation_level,A5,graph_perturbation,0.2,0.4237,0.4098,0.4381,0.4212,25
representation_level,A5,graph_perturbation,0.3,0.4244,0.4128,0.4358,0.4198,25
representation_level,A6,amplitude_noise,20,0.3996,0.3865,0.4131,0.3985,25
representation_level,A6,amplitude_noise,10,0.3481,0.3335,0.3624,0.3469,25
representation_level,A6,amplitude_noise,5,0.3405,0.3251,0.356,0.3396,25
representation_level,A6,channel_dropout,0.1,0.3632,0.3437,0.3838,0.2325,25
representation_level,A6,channel_dropout,0.2,0.3352,0.3333,0.3384,0.1722,25
representation_level,A6,channel_dropout,0.3,0.3453,0.3337,0.3605,0.1924,25
representation_level,A7,amplitude_noise,20,0.4658,0.4534,0.4786,0.4625,25
representation_level,A7,amplitude_noise,10,0.4601,0.4477,0.4726,0.4579,25
representation_level,A7,amplitude_noise,5,0.4512,0.4387,0.464,0.4499,25
representation_level,A7,channel_dropout,0.1,0.4579,0.4449,0.4704,0.4501,25
representation_level,A7,channel_dropout,0.2,0.4531,0.4406,0.4656,0.436,25
representation_level,A7,channel_dropout,0.3,0.4509,0.436,0.4657,0.4249,25
representation_level,A7,graph_perturbation,0.1,0.4633,0.4514,0.4755,0.4585,25
representation_level,A7,graph_perturbation,0.2,0.462,0.4494,0.4742,0.4545,25
representation_level,A7,graph_perturbation,0.3,0.4643,0.4515,0.4758,0.4533,25
representation_level,A8,amplitude_noise,20,0.4012,0.3888,0.4146,0.4003,25
representation_level,A8,amplitude_noise,10,0.3509,0.3353,0.3665,0.3499,25
representation_level,A8,amplitude_noise,5,0.3405,0.3256,0.3556,0.3393,25
representation_level,A8,channel_dropout,0.1,0.3659,0.3465,0.3872,0.2325,25
representation_level,A8,channel_dropout,0.2,0.334,0.3333,0.3349,0.1681,25
representation_level,A8,channel_dropout,0.3,0.3397,0.3333,0.3514,0.1809,25
representation_level,A8,graph_perturbation,0.1,0.4819,0.4702,0.4933,0.4774,25
representation_level,A8,graph_perturbation,0.2,0.4826,0.4707,0.494,0.4757,25
representation_level,A8,graph_perturbation,0.3,0.4826,0.4695,0.4947,0.4734,25
representation_level,A9,amplitude_noise,20,0.4003,0.3883,0.4129,0.3992,25
representation_level,A9,amplitude_noise,10,0.3487,0.3339,0.3627,0.3478,25
representation_level,A9,amplitude_noise,5,0.3405,0.3258,0.3554,0.3393,25
representation_level,A9,channel_dropout,0.1,0.3656,0.3464,0.3867,0.2326,25
representation_level,A9,channel_dropout,0.2,0.334,0.3333,0.3349,0.1681,25
representation_level,A9,channel_dropout,0.3,0.3387,0.3327,0.3498,0.18,25
representation_level,A9,graph_perturbation,0.1,0.4825,0.471,0.4937,0.4781,25
representation_level,A9,graph_perturbation,0.2,0.4823,0.4705,0.4935,0.4753,25
representation_level,A9,graph_perturbation,0.3,0.482,0.4692,0.4941,0.4729,25
raw_signal,E_reservoir_recomputed,temporal_jitter,clean,0.4334,0.3994,0.4662,0.4264,15
raw_signal,E_reservoir_recomputed,temporal_jitter,10,0.4331,0.4062,0.4624,0.4259,15
raw_signal,E_reservoir_recomputed,temporal_jitter,25,0.4274,0.3951,0.4647,0.4164,15
raw_signal,E_reservoir_recomputed,temporal_jitter,50,0.3887,0.3615,0.4158,0.3516,15
raw_signal,E_reservoir_recomputed,amplitude_noise,clean,0.4334,0.3994,0.4662,0.4264,15
raw_signal,E_reservoir_recomputed,amplitude_noise,20,0.4175,0.3905,0.4441,0.4099,15
raw_signal,E_reservoir_recomputed,amplitude_noise,10,0.4507,0.4104,0.4899,0.4447,15
raw_signal,E_reservoir_recomputed,amplitude_noise,5,0.4288,0.3953,0.4607,0.4186,15
raw_signal,E_reservoir_recomputed,channel_dropout,clean,0.4334,0.3994,0.4662,0.4264,15
raw_signal,E_reservoir_recomputed,channel_dropout,0.1,0.3834,0.3593,0.4079,0.2923,15
raw_signal,E_reservoir_recomputed,channel_dropout,0.2,0.358,0.3392,0.3773,0.2273,15
raw_signal,E_reservoir_recomputed,channel_dropout,0.3,0.3622,0.3387,0.3867,0.2326,15
