router,seed,fold,ptype,level,balanced_accuracy,macro_f1
fixed_A0,42,0,clean,clean,0.49612403100775193,0.4935265156784145
fixed_A1,42,0,clean,clean,0.42635658914728686,0.42495491746428077
fixed_A2,42,0,clean,clean,0.35658914728682173,0.3553755250888612
fixed_A3,42,0,clean,clean,0.3875968992248062,0.3843198882486467
fixed_A5,42,0,clean,clean,0.42635658914728686,0.4252422067033534
fixed_A6,42,0,clean,clean,0.45736434108527124,0.4567786902200676
fixed_A7,42,0,clean,clean,0.44961240310077527,0.4462291241113607
fixed_A8,42,0,clean,clean,0.4573643410852713,0.45629540103989624
fixed_A9,42,0,clean,clean,0.4573643410852713,0.45629540103989624
oracle,42,0,clean,clean,0.8759689922480619,0.8757525998905309
perturbation_label,42,0,clean,clean,0.49612403100775193,0.4935265156784145
fixed_A0,42,0,amplitude_noise,20,0.4651162790697674,0.46252879995082546
fixed_A1,42,0,amplitude_noise,20,0.434108527131783,0.43349513696609265
fixed_A2,42,0,amplitude_noise,20,0.3488372093023256,0.34650274679962956
fixed_A3,42,0,amplitude_noise,20,0.310077519379845,0.3090217077460167
fixed_A5,42,0,amplitude_noise,20,0.31007751937984496,0.3060376656838526
fixed_A6,42,0,amplitude_noise,20,0.34108527131782945,0.3402296741924397
fixed_A7,42,0,amplitude_noise,20,0.4883720930232558,0.48504035823279423
fixed_A8,42,0,amplitude_noise,20,0.3875968992248062,0.3886455921339642
fixed_A9,42,0,amplitude_noise,20,0.4883720930232558,0.4883592017738359
oracle,42,0,amplitude_noise,20,0.945736434108527,0.945736434108527
perturbation_label,42,0,amplitude_noise,20,0.4651162790697674,0.46252879995082546
fixed_A0,42,0,amplitude_noise,10,0.44961240310077527,0.45025860531478507
fixed_A1,42,0,amplitude_noise,10,0.44186046511627913,0.4414340448823208
fixed_A2,42,0,amplitude_noise,10,0.3255813953488372,0.3225904328450197
fixed_A3,42,0,amplitude_noise,10,0.3023255813953489,0.3023478036420719
fixed_A5,42,0,amplitude_noise,10,0.40310077519379844,0.39610589502847465
fixed_A6,42,0,amplitude_noise,10,0.4108527131782946,0.41169091292430954
fixed_A7,42,0,amplitude_noise,10,0.4651162790697674,0.463233037827295
fixed_A8,42,0,amplitude_noise,10,0.4108527131782946,0.4087861661035858
fixed_A9,42,0,amplitude_noise,10,0.37209302325581395,0.36465373437204424
oracle,42,0,amplitude_noise,10,0.9689922480620154,0.9688948306595365
perturbation_label,42,0,amplitude_noise,10,0.4651162790697674,0.463233037827295
fixed_A0,42,0,amplitude_noise,5,0.37209302325581395,0.37008545924032
fixed_A1,42,0,amplitude_noise,5,0.4108527131782946,0.4119872560732776
fixed_A2,42,0,amplitude_noise,5,0.31007751937984496,0.31108273023981836
fixed_A3,42,0,amplitude_noise,5,0.3333333333333333,0.3310912445012062
fixed_A5,42,0,amplitude_noise,5,0.3100775193798449,0.30715791693021294
fixed_A6,42,0,amplitude_noise,5,0.31782945736434104,0.31926652707401576
fixed_A7,42,0,amplitude_noise,5,0.38759689922480617,0.38530219780219777
fixed_A8,42,0,amplitude_noise,5,0.31782945736434104,0.31595949013445085
fixed_A9,42,0,amplitude_noise,5,0.36434108527131787,0.36330353986769687
oracle,42,0,amplitude_noise,5,0.9767441860465116,0.9767379679144385
perturbation_label,42,0,amplitude_noise,5,0.4108527131782946,0.4119872560732776
fixed_A0,42,0,channel_dropout,0.1,0.40310077519379844,0.397989619295897
fixed_A1,42,0,channel_dropout,0.1,0.44961240310077516,0.4496480441949568
fixed_A2,42,0,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
fixed_A3,42,0,channel_dropout,0.1,0.31007751937984496,0.17214202754272442
fixed_A5,42,0,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
fixed_A6,42,0,channel_dropout,0.1,0.34108527131782945,0.1827928406875775
fixed_A7,42,0,channel_dropout,0.1,0.44186046511627913,0.4307296146626201
fixed_A8,42,0,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
fixed_A9,42,0,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
oracle,42,0,channel_dropout,0.1,0.937984496124031,0.9362609924407677
perturbation_label,42,0,channel_dropout,0.1,0.44961240310077516,0.4496480441949568
fixed_A0,42,0,channel_dropout,0.2,0.4573643410852713,0.3880652680652681
fixed_A1,42,0,channel_dropout,0.2,0.4728682170542635,0.4727456940222898
fixed_A2,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A3,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A5,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A6,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A7,42,0,channel_dropout,0.2,0.44961240310077527,0.4361344537815126
fixed_A8,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A9,42,0,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
oracle,42,0,channel_dropout,0.2,1.0,1.0
perturbation_label,42,0,channel_dropout,0.2,0.4728682170542635,0.4727456940222898
fixed_A0,42,0,channel_dropout,0.3,0.4573643410852714,0.44387537345283823
fixed_A1,42,0,channel_dropout,0.3,0.3875968992248062,0.3782488370723665
fixed_A2,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A3,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A5,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A6,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A7,42,0,channel_dropout,0.3,0.4573643410852713,0.45095508326842476
fixed_A8,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A9,42,0,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
oracle,42,0,channel_dropout,0.3,1.0,1.0
perturbation_label,42,0,channel_dropout,0.3,0.3875968992248062,0.3782488370723665
fixed_A0,42,0,graph_perturbation,0.1,0.49612403100775193,0.4935265156784145
fixed_A1,42,0,graph_perturbation,0.1,0.42635658914728686,0.42495491746428077
fixed_A2,42,0,graph_perturbation,0.1,0.35658914728682173,0.3553755250888612
fixed_A3,42,0,graph_perturbation,0.1,0.3333333333333333,0.16666666666666666
fixed_A5,42,0,graph_perturbation,0.1,0.4108527131782946,0.30203676105315447
fixed_A6,42,0,graph_perturbation,0.1,0.45736434108527124,0.4567786902200676
fixed_A7,42,0,graph_perturbation,0.1,0.44186046511627913,0.44226299982703593
fixed_A8,42,0,graph_perturbation,0.1,0.441860465116279,0.4402311440117838
fixed_A9,42,0,graph_perturbation,0.1,0.441860465116279,0.4402311440117838
oracle,42,0,graph_perturbation,0.1,0.8449612403100776,0.8416520071633465
perturbation_label,42,0,graph_perturbation,0.1,0.49612403100775193,0.4935265156784145
fixed_A0,42,0,graph_perturbation,0.2,0.49612403100775193,0.4935265156784145
fixed_A1,42,0,graph_perturbation,0.2,0.42635658914728686,0.42495491746428077
fixed_A2,42,0,graph_perturbation,0.2,0.35658914728682173,0.3553755250888612
fixed_A3,42,0,graph_perturbation,0.2,0.3333333333333333,0.16666666666666666
