router,scope,n,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean
entropy_fusion,amplitude_noise,75,0.3852,0.0534,nan
entropy_fusion,channel_dropout,75,0.3472,0.034,nan
entropy_fusion,clean,25,0.5157,0.034,nan
entropy_fusion,graph_perturbation,75,0.5119,0.0322,nan
entropy_fusion,overall,250,0.4249,0.0837,nan
fixed_A0,amplitude_noise,75,0.4252,0.055,nan
fixed_A0,channel_dropout,75,0.4063,0.0538,nan
fixed_A0,clean,25,0.4851,0.0364,nan
fixed_A0,graph_perturbation,75,0.4851,0.0364,nan
fixed_A0,overall,250,0.4435,0.0593,0.4245
fixed_A1,amplitude_noise,75,0.4568,0.0306,nan
fixed_A1,channel_dropout,75,0.4535,0.0378,nan
fixed_A1,clean,25,0.4626,0.0321,nan
fixed_A1,graph_perturbation,75,0.4626,0.0321,nan
fixed_A1,overall,250,0.4581,0.0337,0.4556
fixed_A2,amplitude_noise,75,0.3458,0.0443,nan
fixed_A2,channel_dropout,75,0.3342,0.0058,nan
fixed_A2,clean,25,0.4321,0.0466,nan
fixed_A2,graph_perturbation,75,0.4321,0.0466,nan
fixed_A2,overall,250,0.3768,0.0593,0.3261
fixed_A3,amplitude_noise,75,0.343,0.0468,nan
fixed_A3,channel_dropout,75,0.3332,0.0147,nan
fixed_A3,clean,25,0.355,0.0302,nan
fixed_A3,graph_perturbation,75,0.3323,0.0131,nan
fixed_A3,overall,250,0.338,0.0303,0.2544
fixed_A5,amplitude_noise,75,0.3407,0.0439,nan
fixed_A5,channel_dropout,75,0.3342,0.0101,nan
fixed_A5,clean,25,0.4386,0.0325,nan
fixed_A5,graph_perturbation,75,0.3838,0.0381,nan
fixed_A5,overall,250,0.3615,0.0474,0.283
fixed_A6,amplitude_noise,75,0.3651,0.0524,nan
fixed_A6,channel_dropout,75,0.3391,0.0164,nan
fixed_A6,clean,25,0.4778,0.0314,nan
fixed_A6,graph_perturbation,75,0.4778,0.0314,nan
fixed_A6,overall,250,0.4024,0.0721,0.3551
fixed_A7,amplitude_noise,75,0.4569,0.0327,nan
fixed_A7,channel_dropout,75,0.445,0.0386,nan
fixed_A7,clean,25,0.4642,0.0294,nan
fixed_A7,graph_perturbation,75,0.4646,0.0312,nan
fixed_A7,overall,250,0.4564,0.0348,0.4499
fixed_A8,amplitude_noise,75,0.366,0.0456,nan
fixed_A8,channel_dropout,75,0.3397,0.022,nan
fixed_A8,clean,25,0.4813,0.0334,nan
fixed_A8,graph_perturbation,75,0.4799,0.0341,nan
fixed_A8,overall,250,0.4038,0.0723,0.3551
fixed_A9,amplitude_noise,75,0.3668,0.0472,nan
fixed_A9,channel_dropout,75,0.339,0.0218,nan
fixed_A9,clean,25,0.481,0.0321,nan
fixed_A9,graph_perturbation,75,0.4781,0.0346,nan
fixed_A9,overall,250,0.4033,0.0721,0.3537
oracle,amplitude_noise,75,0.9685,0.0174,nan
oracle,channel_dropout,75,0.9707,0.045,nan
oracle,clean,25,0.9036,0.0225,nan
oracle,graph_perturbation,75,0.8967,0.0316,nan
oracle,overall,250,0.9412,0.0476,0.9402
perturbation_label,amplitude_noise,75,0.4615,0.034,nan
perturbation_label,channel_dropout,75,0.4498,0.0373,nan
perturbation_label,clean,25,0.4755,0.0288,nan
perturbation_label,graph_perturbation,75,0.4806,0.0339,nan
perturbation_label,overall,250,0.4651,0.0368,0.4619
signal_quality,amplitude_noise,1,0.4268,0.0,nan
signal_quality,channel_dropout,1,0.4165,0.0,nan
signal_quality,clean,1,0.5011,0.0,nan
signal_quality,graph_perturbation,1,0.4216,0.0,nan
signal_quality,overall,6,0.4375,0.0288,0.4351
