metric,value
reservoir_neurons_per_channel,256
reservoir_channels,34
reservoir_neuron_stack_total,8704
reservoir_recurrent_weights_per_channel,65536
reservoir_input_weights_per_channel,256
timesteps,256
bandpower_dim,170
E_dim,2176
D_dim,238
T_dim,68
C_dim,3
pca_components_per_channel,64
pca_projection_weights,3342336
readout_weights_3class,6528
dense_recurrent_macs_per_obs,570425344
feature_fit_runtime_s_64obs,0.9277
classifier_predict_runtime_s_64obs,0.00112
spike_sparsity_fraction_active,0.14434
mean_spikes_per_observation,321612.0
mean_events_per_timestep,1256.3
estimated_recurrent_synaptic_ops_per_obs,82332672.0
event_driven_vs_dense_recurrent_ratio,0.1443
closed_loop_mean_steps_efe,5.6
